# Paldeck (Zukan) numbers, keyed by internal CharacterID.
#
# WHY THIS FILE EXISTS
# Palworld's `DT_PalMonsterParameter` holds `ZukanIndex`/`ZukanIndexSuffix`, but
# the pak ships with `PKG_UnversionedProperties` set, so numeric DataTable
# fields cannot be deserialized without a `.usmap` schema that does not exist
# for this build. Names, localized text, and textures are schema-free and ARE
# read from the user's own pak (see `reference.rs`); dex numbers are the one
# Paldeck-facing field that isn't. The implementation plan pre-agreed this
# fallback: reference numbers from an external dataset, everything else local.
#
# Confirmed non-recoverable from the pak before adding this file: no Zukan or
# Paldeck DataTable exists (`MainMenu/Paldex/` is UI widgets only), and the
# FName tables of both `DT_PalMonsterParameter` and `DT_PaldexDistributionData`
# are alphabetically sorted, so row order carries no ordering signal.
#
# PROVENANCE
# Numbers from evnja-io/palworld-copilot `packages/game-data/pals.json`
# (a CUE4Parse extraction of the same DataTable). Retrieved 2026-08-06.
# Variant suffixes are derived: within one index, the id without an `_` variant
# segment is the base and the other takes `B`. That rule was validated against
# blaynem/paldex's older `DT_PalMonsterParameter.json` dump, which carries real
# `ZukanIndexSuffix` values — 137 overlapping rows, zero suffix mismatches.
#
# VALIDATION AGAINST THIS GAME BUILD
# - All 288 ids resolve against the user's own pak; zero unknown ids.
# - The 34 pak species left unnumbered are all tower-boss pairs, Terraria-collab
#   raid content, or unused/dev entries (e.g. `VolcanoDragon_omit`) — no real
#   Paldeck species is missing a number.
# - Numbering independently cross-checked against paldb.cc by joining on the
#   pak's own English display names: 97 species compared, 97 agreed.
#   Note the game RENUMBERED its Paldeck after launch; launch-era dumps
#   (Foxparks 005, Sparkit 007) disagree and are stale. Do not "correct"
#   toward them.
#
# Regenerate after a game update that adds Pals, then re-run
# `dex_numbers_cover_every_real_species` in `tests/dex_numbers.rs`.
#
# Format: character_id <TAB> index <TAB> suffix ("" or "B")
SheepBall	1	
PinkCat	2	
ChickenPal	3	
Carbunclo	4	
BluePlatypus	5	
BluePlatypus_Fire	5	B
CuteFox	6	
FlyingManta	7	
FlyingManta_Thunder	7	B
WoolFox	8	
KendoFrog	9	
KendoFrog_Dark	9	B
LeafMomonga	10	
Ganesha	11	
PlantSlime	12	
SamuraiDog	13	
CloverFairy	14	
Hedgehog	15	
Hedgehog_Ice	15	B
NegativeKoala	16	
Penguin	17	
Penguin_Electric	17	B
CaptainPenguin	18	
CaptainPenguin_Black	18	B
WizardOwl	19	
Alpaca	20	
KingAlpaca	21	
KingAlpaca_Ice	21	B
DreamDemon	22	
Monkey	23	
Monkey_Fire	23	B
NightFox	24	
LavaGirl	25	
FlameBambi	26	
Bastet	27	
Bastet_Ice	27	B
Boar	28	
Kitsunebi	29	
Kitsunebi_Ice	29	B
NegativeOctopus	30	
NegativeOctopus_Neutral	30	B
CuteMole	31	
Deer	32	
Deer_Ground	32	B
Garm	33	
BerryGoat	34	
BerryGoat_Dark	34	B
MopBaby	35	
MopKing	36	
TentacleTurtle	37	
TentacleTurtle_Ground	37	B
Windchimes	38	
Windchimes_Ice	38	B
SweetsSheep	39	
SweetsSheep_Ground	39	B
CowPal	40	
BlueDragon	41	
BlueDragon_Ice	41	B
ElecCat	42	
Kelpie	43	
Kelpie_Fire	43	B
PinkRabbit	44	
PinkRabbit_Grass	44	B
JellyfishFairy	45	
JellyfishGhost	46	
ClioneTwins	47	
OctopusGirl	48	
OctopusGirl_Neutral	48	B
Eagle	49	
GhostBlackCat	50	
HawkBird	51	
CatBat	52	
ColorfulBird	53	
Kirin	54	
Kirin_Ice	54	B
SharkKid	55	
SharkKid_Fire	55	B
Werewolf	56	
Werewolf_Ice	56	B
DarkCrow	57	
FlameBuffalo	58	
FluffyBird	59	
LittleBriarRose	60	
CuteButterfly	61	
